0106.nii.gz: Dice=0.1248, IoU=0.0665, Recall=0.0731, Precision=0.4262, HD=33.99
0498.nii.gz: Dice=0.3224, IoU=0.1922, Recall=0.2231, Precision=0.5811, HD=26.25
1074.nii.gz: Dice=0.0353, IoU=0.0180, Recall=0.0220, Precision=0.0889, HD=32.59
1261.nii.gz: Dice=0.2916, IoU=0.1707, Recall=0.1890, Precision=0.6376, HD=25.06
2155.nii.gz: Dice=0.2358, IoU=0.1337, Recall=0.1458, Precision=0.6164, HD=32.91
2245.nii.gz: Dice=0.0590, IoU=0.0304, Recall=0.0314, Precision=0.4886, HD=49.94
4058.nii.gz: Dice=0.0640, IoU=0.0331, Recall=0.0345, Precision=0.4390, HD=31.18
4080.nii.gz: Dice=0.0930, IoU=0.0487, Recall=0.0502, Precision=0.6291, HD=34.34
4119.nii.gz: Dice=0.0000, IoU=0.0000, Recall=0.0000, Precision=0.0000, HD=80.55
4128.nii.gz: Dice=0.0482, IoU=0.0247, Recall=0.0249, Precision=0.7767, HD=37.99
4188.nii.gz: Dice=0.3863, IoU=0.2394, Recall=0.2741, Precision=0.6539, HD=27.46
4225.nii.gz: Dice=0.3900, IoU=0.2423, Recall=0.3379, Precision=0.4612, HD=44.16
4313.nii.gz: Dice=0.1111, IoU=0.0588, Recall=0.0646, Precision=0.3946, HD=32.02
4332.nii.gz: Dice=0.3701, IoU=0.2270, Recall=0.2592, Precision=0.6466, HD=30.72
4357.nii.gz: Dice=0.2511, IoU=0.1436, Recall=0.1624, Precision=0.5535, HD=29.98
4367.nii.gz: Dice=0.0766, IoU=0.0398, Recall=0.0410, Precision=0.5943, HD=38.81
4387.nii.gz: Dice=0.2015, IoU=0.1120, Recall=0.1282, Precision=0.4707, HD=33.18
4467.nii.gz: Dice=0.0547, IoU=0.0281, Recall=0.0286, Precision=0.6500, HD=47.03
4556.nii.gz: Dice=0.2646, IoU=0.1525, Recall=0.1615, Precision=0.7327, HD=28.14
4611.nii.gz: Dice=0.0052, IoU=0.0026, Recall=0.0026, Precision=0.6000, HD=73.96
4659.nii.gz: Dice=0.0403, IoU=0.0205, Recall=0.0207, Precision=0.7788, HD=56.62
4869.nii.gz: Dice=0.0439, IoU=0.0225, Recall=0.0229, Precision=0.5361, HD=43.70
4917.nii.gz: Dice=0.1623, IoU=0.0883, Recall=0.0984, Precision=0.4628, HD=26.85
4960.nii.gz: Dice=0.4844, IoU=0.3196, Recall=0.4502, Precision=0.5244, HD=19.47
5091.nii.gz: Dice=0.3143, IoU=0.1864, Recall=0.2331, Precision=0.4821, HD=31.46
5177.nii.gz: Dice=0.1107, IoU=0.0586, Recall=0.0604, Precision=0.6579, HD=33.23
6084.nii.gz: Dice=0.0415, IoU=0.0212, Recall=0.0221, Precision=0.3368, HD=36.36
6104.nii.gz: Dice=0.1909, IoU=0.1055, Recall=0.1112, Precision=0.6744, HD=31.89
6105.nii.gz: Dice=0.1764, IoU=0.0967, Recall=0.1052, Precision=0.5452, HD=27.59
6110.nii.gz: Dice=0.1017, IoU=0.0536, Recall=0.0582, Precision=0.4055, HD=32.40
6146.nii.gz: Dice=0.1935, IoU=0.1071, Recall=0.1182, Precision=0.5347, HD=40.24
6164.nii.gz: Dice=0.2527, IoU=0.1447, Recall=0.1589, Precision=0.6172, HD=38.95
6253.nii.gz: Dice=0.3364, IoU=0.2022, Recall=0.2211, Precision=0.7029, HD=25.02
6304.nii.gz: Dice=0.0730, IoU=0.0379, Recall=0.0389, Precision=0.5763, HD=48.47
6315.nii.gz: Dice=0.0000, IoU=0.0000, Recall=0.0000, Precision=0.0000, HD=71.76
6326.nii.gz: Dice=0.2923, IoU=0.1712, Recall=0.1885, Precision=0.6503, HD=32.57
6335.nii.gz: Dice=0.1257, IoU=0.0670, Recall=0.0805, Precision=0.2857, HD=26.65
6341.nii.gz: Dice=0.2661, IoU=0.1535, Recall=0.1729, Precision=0.5772, HD=31.02
6343.nii.gz: Dice=0.0697, IoU=0.0361, Recall=0.0371, Precision=0.5875, HD=44.96
6359.nii.gz: Dice=0.1053, IoU=0.0556, Recall=0.0583, Precision=0.5447, HD=30.51
6376.nii.gz: Dice=0.3339, IoU=0.2004, Recall=0.2195, Precision=0.6968, HD=22.83
6443.nii.gz: Dice=0.0804, IoU=0.0419, Recall=0.0441, Precision=0.4500, HD=53.04
6468.nii.gz: Dice=0.2223, IoU=0.1251, Recall=0.1324, Precision=0.6930, HD=29.43
6485.nii.gz: Dice=0.1186, IoU=0.0631, Recall=0.0667, Precision=0.5382, HD=36.07
6487.nii.gz: Dice=0.2741, IoU=0.1588, Recall=0.1804, Precision=0.5699, HD=38.91
6493.nii.gz: Dice=0.3778, IoU=0.2329, Recall=0.2592, Precision=0.6965, HD=21.42
6503.nii.gz: Dice=0.2225, IoU=0.1252, Recall=0.1336, Precision=0.6638, HD=33.50
6529.nii.gz: Dice=0.1447, IoU=0.0780, Recall=0.0805, Precision=0.7177, HD=35.01
6688.nii.gz: Dice=0.2912, IoU=0.1704, Recall=0.1816, Precision=0.7353, HD=29.83
6695.nii.gz: Dice=0.3208, IoU=0.1910, Recall=0.2189, Precision=0.6002, HD=29.34
Average: Dice=0.1831, IoU=0.1060, Recall=0.1206, Precision=0.5457, HD=36.59
